no,sport name
635,Rugby Union — a football code played on a grass field by two opposing teams with two H-shaped goalposts at opposite ends.
636,"Rugby X — a variant of rugby sevens, though with teams of five on a ¼ sized pitch with shorter matches."
637,Running — running races can range from short sprints to ultra-marathons.
638,"Russian Pyramid — a cue sport played in countries of the former Soviet Union (also known simply as Pyramid(s), Russian billiards or Russian pool)"
639,Sailing — a sport that involves moving a boat by using the power of the wind.
640,"Sambo — a martial art developed for Russia's military and police force in the 1930s. The term translates as ""self-defense without weapons""."
641,Samoa Rules — a combination of Australian Rules Football and Rugby Union.
642,Sandball — see Beach Handball.
643,Sandboarding — involves sliding on the sand while standing on a board.
644,Sandsurfing — attach a skateboard deck or other similar object to the back of an ATV or vehicle with a watersports tow rope (not a competitive sport).
645,"Sanshou (also called Sanda) — a form of kickboxing from China, which combines full-contact kickboxing, with wrestling, takedowns, throws, sweeps, kick catches, and in some competitions, even elbow and knee strikes."
646,"Savate — a French version of kickboxing, in which only foot kicks are allowed."
647,Sawing — involves cutting across entire logs of wood using saws.
648,Schwingen — a style of folk wrestling native to Switzerland.
649,"Scootering — doing tricks, over obstacles and terrains, on a scooter."
650,"Sculling Rowing — a form of rowing, in which a person uses oars, one in each hand, to propel a single or double scull rowing boat."
651,Scurry Driving — ponies pull a carriage with two riders around a track.
652,"Seatball — a sport like sitting volleyball for disabled and non-disabled athletes, played on a larger court and allowing for the ball to bounce once between touches (also called Sitzball or Sitball)."
653,Segway Polo — similar to horse polo though players ride a segway PT.
654,Sepak Takraw — an Asian sport like volleyball but using the feet to kick the ball over the net.
655,"Shinty — Scottish team sport resembling field hockey, played with long curved sticks and a small ball which is hit through tall goalposts. Derived from the Irish game of Hurling."
656,Shinty-Hurling — a composite sport created to facilitate competitions between Shinty and Hurling players.
657,Shooting Sports — many events involving shooting at targets using guns like pistols and rifles.
658,Shot put — the track and field event where the participants throw a heavy metal ball for maximum distance.
659,Showdown — a game for blind and visually impaired people similar to air hockey.
660,Show Jumping — an equestrian event where riders on horseback attempt to jump cleanly through sets of obstacles within a specific time.
661,Shuffleboard — players use cues to push and slide weighted discs along a long court into a scoring area.
662,"Shuttlecock — the English name of the sport Jianzi, like badminton played with the feet (Shuttlecock is also the name of the object that is hit in Badminton)."
663,"Sikaran — a form of kick boxing from the Philippines, which utilizes only the feet, the hands are only used for blocking."
664,"Singlestick — a martial art that uses a wooden stick, which began as a way of training sailors in the use of swords. A type of Stick-Fighting."
665,Sipa — a sport from the Philippines in which the aim is to kick the ball to the other side of the net on to the opponent’s side without it touching the ground.
666,Sitting Volleyball — a version of volleyball for disabled athletes played while sitting (also known as paralympic volleyball).
667,Sixes Lacrosse — a new smaller team faster paced lacrosse format making the sport more accessible.
668,Six-Man Football — a modification of American football played with 6 instead of 11 players.
669,Skateboarding — competitions involving tricks or races while standing on a flat board with rollers attached at the bottom.
670,"Skeet Shooting — one of the disciplines of clay pigeon shooting, targets are thrown in singles and doubles from two traps situated 40m apart."
671,Skeleton — participants ride a small sled down a frozen track facing forward with the face down.
672,Ski Archery — involves skiing and shooting arrows at targets.
673,Ski Ballet — see Acroski (the sport's current name).
674,"Ski Cross — downhill skiing on a specifically designed course featuring big jumps, rollers and high-banked turns."
675,Ski Flying — winter sport similar to ski jumping in which the skier will come down and take off from a ramp and fly the farthest possible distance.
676,Ski Jumping — a form of skiing in which an athlete will take off a ramp and jump as high and far as possible.
677,"Ski Mountaineering — the objective is to climb up a mountain wearing skis, occasionally carrying if required, and then descend on the skis."
678,Ski Orienteering — the objective for athletes is to navigate from the start to the finish through checkpoints while riding on skis.
679,"Skirmish — a general term for sports in which participants replicate firearm warfare. See Airsoft, Laser Tag and Paintball."
680,"Skiboarding — like snow skiing, but with shorter and wider skis."
681,Skibobbing — a winter sport that uses a bicycle-type frame connected to skis called skibobs.
682,"Skiing — traveling over a surface (snow, water, grass) on skis. There is a wide range of sporting activities that fall under the term skiing."
683,"Skijøring — being pulled either by a dog, a horse or a motor-operated vehicle while on skis."
684,"Skittles — a precursor to many bowling games, it is an indoor sport in a bowling alley, using one or more heavy balls to knock down nine skittles."
685,Skydiving — see Parachuting.
686,Skyrunning — a running sport in which athletes compete on a course that leads through mountains.
687,Skysurfing — a skydiver attaches a board to his feet during freefall.
688,Slacklining — balancing and doing tricks along a suspended length of flat webbing that is tensioned between two anchors.
689,"Slalom Skiing — an alpine skiing discipline which involves skiing downhill through gates, with the gates closer together therefore tighter turns than in Giant Slalom or Super-G."
690,Slamball — a form of basketball using trampolines to get height to shoot the ball through the hoop.
691,Sledge Hockey — ice hockey on double-blade sledges for people with physical disabilities on the lower body.
692,Slopestyle — winter sport event involving skiing or snowboarding down a course of obstacles.
693,Slopestyle Skiing — athletes on skis perform on a course with different types of obstacles.
694,Slopestyle Snowboarding — athletes on a snowboard perform on a course with a range of obstacles.
695,Slow-Pitch Softball — a version of Softball where the ball is pitched from 50 feet with a half a windmill underhand arm action.
696,Snatch  — an event in the sport of Olympic weightlifting.
697,"Snocross (or snowcross) — the most popular form of snowmobile racing, similar to motocross but conducted on snow."
698,"Snooker — a Cue Sport played on a table covered with a green cloth with six pockets. It is played using a cue and 22 snooker balls: one white cue ball, 15 red balls and six balls of different colors. Points are awarded for using the cue ball to pot the red and colored balls."
699,Snowbiking — uses a mountain bike on snow with fat tires.
700,Snowboarding — involves descending on a slope covered in snow using a single board attached to both feet.
701,Snowboard Cross — another name for Boardercross.
702,Snowboating — a winter sport in which athletes use a kayak to descend down a slope covered with snow (also called Snowkayaking).
703,"Snow Golf — like regular golf, however the golf course is covered with snow and ice, rather than grass."
704,"Snowkiting — a snow based, kite powered sport, while riding on a snowboard (Kite Boarding) or on snow skis (Kite Skiing)."
705,Snowmobile Racing — athletes ride on snowmobiles to compete on purpose built courses or on natural snow covered terrains.
706,Snow Polo — a variation of Polo on horseback which is played on compacted snow on flat ground or a frozen lake.
707,Snow Rugby — rugby union matches played on fields covered with snow.
708,Snowshoeing — racing in snow wearing snow shoes.
709,"Snow Skiing — Traveling over a snow surface on skis. Competitive forms include Alpine Skiing (or Downhill Skiing), and Cross-Country / Nordic Skiing."
710,Snow Volleyball — a variation of beach volleyball in which the games are played in the snow.
711,"Soccer — the common name for Association Football in the North America, Australia and some other parts of the world."
712,"Soft Tennis — a version of the game of tennis played primarily in Asia, very similar except they play with soft balls."
713,"Softball — there are three styles of softball: fast pitch, ""modified"" fast pitch, and slow pitch."
714,"Softball Throw — a track and field discipline in which you throw the ball as far as possible, mostly used in competitions for disadvantaged groups as a substitute for other technical throwing events."
715,Sorro Wrestling — a traditional wrestling style from Niger.
716,Speed-Ball — an Egyptian racquet sport where players hit a ball suspended from a central pole.
717,Speedball — an American sport in which teams attempt to score by throwing or kicking a ball into a goal.
718,Speed Climbing — athletes climb a set route on a vertical wall in the fastest time possible.
719,Speedcubing — players solve single piece 3D puzzles in the quickest time possible.
720,Speed Golf — a variation of golf in which the objective is to complete the course in the fewest possible number of strokes and the fastest time possible.
721,Speedminton — badminton played with no net adapted to make it suitable for playing outdoors (now called Crossminton).
722,"Speed Pool — a cue sport, a Pocket Billiards game where the balls must be pocketed in as little time as possible."
723,"Speed Skating (Long Track) — ice skaters race head to head on a 400m oval track for a set distance, between 500 and 10,000 m."
724,Speed Skating (Short Track) — 4 to 8 skaters racing around an oval ice track towards the finish line.
725,Speed Skiing — the objective is to ski downhill on a straight path as fast as possible.
726,"Speedway — motorsports around an oval track. Forms include Motorcycle Speedway, Autospeedway, Long Track Speedway, Ice Speedway and Bicycle Speedway."
727,Spongee — an outdoor non-contact sport played on an ice rink in rubber boots with a sponge puck instead of a hard puck like in ice hockey.
728,Sport Acrobatics — the previous name for Acrobatic Gymnastics.
729,Sport Aerobics — the objective is to perform high-intensity gymnastic moves in sync with background music. Also called Aerobic Gymnastics.
730,"Sport Climbing — rock climbing competitions, can be Lead Climbing, Speed Climbing or Bouldering."
731,Sport Diving — aspects of scuba diving are performed in a swimming pool.
732,"Sport Fishing — in competition fishing contestants compete for prizes based on the total length or weight of a fish, usually of a pre-determined species, caught within a specified timeframe."
733,Sport Kite — using a stunt kite to fly the kite in several patterns in time to background music.
734,Sport Stacking — stack a number of plastic cups in a pre-determined sequence as fast as possible.
735,"Sporting Clays — one of the disciplines of clay pigeon shooting, shooters move about a course, attempting to hit varying targets projected at different angles, speed, elevation, and distances."
736,"Sports Car Racing — a type of auto racing, in which sports cars are used."
737,"Sports Table Football — attempts to replicate the game of Association Football on a table top with action figures, based on the game of Subbuteo."
738,"Sprint (Athletics)  — track and field running events over short distances, such as 100m, 200m, 400m."
739,Sprint Car Racing — a racing sport which involves direct racing of high powered small cars.
740,Sprint Football — a USA varsity sport for lightweight players which emphasizes speed and agility.
741,Squash — a racquet sport played by two or four players in a four-walled court with a small hollow rubber ball.
742,"Squash Tennis — derived from both squash and lawn tennis, played on a squash court with tennis rackets and balls."
743,Squat — a powerlifting event in which participants attempt to perform a squat with the maximum weight on their shoulders.
744,"Ssireum — a folk wrestling style and traditional national sport of Korea, with the aim to bring any part of the opponent's body above the knee to the ground."
745,Standup Paddleboarding — a person stands on a board and uses a paddle to propel themselves through the water.
746,Steeplechase — an athletics distance track running event with barriers and water jumps.
747,Steeplechase — a horse racing sport in which competitors on horsebacks race on a long distance course that has several types of obstacles.
748,Stick-Fighting — a type of martial arts which use a hand-held long slender wooden stick for fighting. Variations include singlestick and canne de combat.
749,"Stické Tennis — an indoor racquet and ball based sport derived from lawn tennis in the late 19th century, using a smaller court surrounded by 4 walls."
750,"Stock Car Racing — a car racing sport in which production-based cars, called stock cars, are used for racing."
751,Stone Lift or Carry — involves moving stones as a test of strength.
752,"Stoolball — a team sport played on a circular grass field, possibly the precursor to cricket and baseball."
753,Straight pool — a type of pocket billiards game in which a player is required to call which object ball they are going to pocket and to which pocket.
754,"Street Hockey — a team sport that was derived from Ice Hockey, though it is played on an asphalt or cement surface instead of ice, and players wear inline skates or shoes."
755,Streetluge — participants race downhill feet first on a sort of modified skateboard.
756,"Street Skateboarding — skaters perform tricks on a street-like course with stairs, handrails, curbs, benches, walls, and slopes."
757,Strongman — a sport which tests competitors' strength in a variety of different ways.
758,Sumo Wrestling — two wrestlers within a circular ring try and push the other out.
759,Super Giant Slalom (better known as Super-G) — an alpine downhill skiing event like giant slalom but the gates to ski through are further apart.
760,"Supercross — an indoor dirt-bike racing sport which evolved from Motocross, using specifically built indoor dirt tracks."
761,"Supermoto — motorcycle riders compete on three different types of courses as part of a single race: a flat track course, a motocross course and a road course."
762,Surf Kayaking — involves surfing in the ocean using a kayak.
763,Surfboat Rowing — a team of riders compete using surfboats on a course out and back through the surf.
764,"Surfing — participants stand on a surfboard, and use the waves for propulsion."
765,Surf Lifesaving — competitions consist of performing various tasks performed by lifeguards on the beach.
766,Swamp Football — a version of association football played in bogs or swamps.
767,Sweep Rowing — each rower has just one oar which is maneuvered with both hands to propel the boat.
768,Swimming — the sport of propelling oneself through water using the limbs.
769,"Swimrun — involves multiple swim and run stages, with no clothing changes and carrying of all equipment."
770,Swish — a verison of table tennis for blind athletes.
771,Synchronized Diving  — a diving sport in which two divers perform the exact same dive simultaneously.
772,Synchronized Skating — a sport of the figure skating discipline in which 8 to 20 skaters perform routines as a team on an ice rink.
773,Synchronized Swimming — athletes perform synchronized dance routines to music while floating in water.
774,"Table Football — also called Fußball or Foosball, using figures mounted on rows of rotatable bars to hit a ball."
775,Table Tennis (also called Ping Pong) — a racket sport played with small paddles and a lightweight ball on a rectangular table with a net in the middle.
776,Taekwondo — a self-defense discipline that originated in Korea.
777,"Tag Rugby — a team sport similar to touch rugby in which instead of a tackle a Velcro attached tag if pulled off the ball carrier. Similar in play to Touch Rugby. Also known as Flag Rugby. Played in several forms, such as OzTag and Mini Tag. American flag rugby played in the US K1-9 is a variation of Tag Rugby."
778,Tamburello — racquet and a ball based sport from Italy.
779,Target Archery — a popular Archery competition where competitors shoot at stationary circular targets from different distances.
780,"Target Golf — players hit a golf ball at a large net, scoring points based on where the ball lands."
781,Target Shooting — guns of any type used for aiming at a target.
782,"Tee-Ball — an introductory sport for younger kids to baseball and softball, with the ball hit off a stationary tee."
783,Tchoukball — an indoor team sport in which the players can score by throwing a ball onto a rebound frame at either end of the court and the ball landing back on the court without being caught.
784,Team Handball — a commonly used name for the sport of Handball.
785,Team Penning — the objective for each three-rider team on horseback is to separate three specific cattle from a herd.
786,"Te Ano — the national game of Tuvalu, with similarities to volleyball, though using two balls at once."
787,Tejo (Argentina)  — a sport from Argentina in which two teams throw metal discs to land as close as possible to a neutral disc.
788,Tejo (Colombia)  — a Colombian sport in which metal discs are thrown 20m to a target which explodes when hit.
789,"Telemark Skiing — The bindings for telemark skiing holds the boot by the toes, unlike Alpine Skiing which is fixed-heel. Also known as free hill skiing and telemarking."
790,"Tennikoit — played with a rubber ring, in which the objective is to catch and throw the ring back on to the opponents half of the court. Also called ring tennis or tenniquoits."
791,Tennis — a court sport where players use a stringed racket to hit a ball to each other over a net.
792,"Tennis Polo — an outdoor team sport, where players attempt to throw a tennis ball through a goal defended by a goalkeeper with a tennis racket. Also called Toccer."
793,Tenpin Bowling  — a player rolls a bowling ball on to a wooden or synthetic lane to knock down pins.
794,"Tent Pegging — the objective for a horse rider is to pierce, pick-up and carry a target, with a lance or a sword, as they gallop towards the target."
795,Teqball — a new football-based sport which combines table tennis and football (soccer).
796,"Test Cricket — the longest form of cricket, played over 5 days."
797,Tetherball — two players hit a ball attached by a rope to the top of a stationary pole.
798,"Tetradecathlon — a double heptathlon consisting of 14 events, including the 7 traditional heptathlon events with 7 additional track and field events."
799,"Tetrathlon — composed of 4 out of the 5 disciplines of Modern Pentathlon: Swimming, Running, Shooting and either Fencing or Equestrian."
800,Thoroughbred Racing — horse racing sport which involves the racing of thoroughbred horses.
801,"Three-Cushion Billiards — a very challenging cue sport and Carom Billiards discipline, where the aim is to carom the cue ball off both object balls and contact the rail cushions at least three times before the last object ball."
802,Throwball — a sport very similar to Newcomb Ball (a variation of Volleyball) that is played in India.
803,Torball — a team sport for the visually impaired with an inflated ball with bells inside. The aim is to throw the ball through the opponent´s goal line.
804,Toros Coleados — involves chasing down a bull while riding on horseback (also called Bull-Tailing).
805,"Touch Football — A version of American Football, where instead of tackling players to the ground, the person carrying the ball only needs to be touched."
806,"Touch Rugby — a team sport derived from Rugby Football, in which the tackling is replaced with just a touch."
807,"Touring Car Racing — a type of auto track racing, which uses heavily modified road-going cars."
808,Tower Running — grueling races up tall man-made structures. Also known as Stair Climbing.
809,Track Cycling — bicycle races conducted on velodromes or other specially designed tracks that feature a steep banking.
810,Track & Field — also known as athletics.
811,"Tractor Pulling — a motorsport involving modified tractors that pull a weighted sled along a 10m wide, 100m track."
812,Trampolining — competitors perform acrobatics while jumping on a trampoline.
813,"Trap Shooting — one of the variants of clay pigeon shooting, where 1 or 2 targets are thrown away from a trap situated 15m in front of the shooter."
814,TREC — a French equestrian sport in which the objective is to test both the horse and the rider in competitions consisting of three separate events.
815,Tree Climbing — competitions in which competitors climb trees as fast as possible using various techniques based on the daily working conditions of arborists.
816,"Triathle — a shortened version of the Modern Pentathlon, athletes compete in shooting, swimming and running events as a part of a single race."
817,"Triathlon — a race consisting of three events, usually swimming, cycling, and running in consecutive order."
818,"Tricking — performers combine martial arts movements with flips, kicks, twists and various dance moves to show off their tricks."
819," Triple jump — a track and field event where the participant attempts to hop, skip and jump the longest distance. Also called the hop, skip and jump for obvious reasons. Similar to the long jump."
820,"Trugo — Australian sport in which players strike a rubber ring, which is called a whell, with a mallet through goal posts."
821,Tug of War — two teams pull on opposite ends of a rope.
822,"Tumbling — a gymnastics event involving tumbling along a mat performing flips, rolls, jumps, performing somersaults and handsprings."
823,Twenty20 — a fast-paced limited over cricket match played 20 overs per team. Also known as T20 Cricket.
824,"Ulama — a traditional ball sport from Mexico, players keep the ball inbounds by hitting it with their hips or forearms."
825,"Ultimate — played with a disc (frisbee), with points scored by passing the disc to a teammate in the opposing end zone."
826, Ultralight Aviation — events with lightweight aircraft which have 1 or 2 seat fixed-wings.
827,"Ultramarathon — very long distance endurance events, ranging from greater than Marathon distance to several days. Ultramarathons can either cover a specified distance, or take place during a specified time frame, with the winner covering the most distance in that time."
828,"Underwater Football — played in a swimming pool with snorkeling equipment, the aim is to manoeuvre a slightly negatively buoyant ball underwater (by carrying and passing) from one side of a pool to the other. Scoring is achieved by placing the ball in the gutter on the side of the pool."
829,Underwater Hockey — two teams of six push a puck along the bottom of a swimming pool. (also known as 'Octopush' or Water Hockey).
830,Underwater Ice Hockey — A variation of Ice Hockey played upside-down underneath frozen pools or ponds. Participants wear snorkeling equipment and wet suits and use the underside of the frozen surface as the playing area for a floating puck (also called sub-aqua ice hockey).
831,"Underwater Orienteering — individual and team events in which competitors wearing scuba diving equipment swim an underwater course following a route marked on a map prepared by the competition organizers, using a compass and a counter meter to measure the distance covered."
832,"Underwater Photography — teams of competitors using scuba gear and using a digital underwater camera dive and photograph the same saltwater ocean sites at the same time over a two-day period, with the submitted digital images assessed to find the winner."
833,Underwater Rugby — two teams compete for a slightly negatively buoyant ball (filled with saltwater) and score by placing it into the opponents' goal (heavy metal bucket) at the bottom of a swimming pool.
834,"Underwater Target Shooting — competitors free dive in a swimming pool, using spearguns to fire at targets."
835,Underwater Wrestling — an alternative name for Aquathlon.
836,Uneven Bars — an artistic gymnastics apparatus used only by female gymnasts comprising a pair of parallel bars set at different heights (also called asymmetric bars).
837,Unicycle Basketball — a version of Basketball with all competitors riding unicycles. The sport uses a regulation basketball on a regular basketball court with the same rules.
838,"Unicycle Handball — competitors ride unicycles and a handball-sized ball, with the aim to throw it into a vertical hoop placed about 6 feet (1.8 m) above the ground."
839," Unicycle Hockey — a team sport, similar to roller or inline hockey, though all competitors are riding a unicycle and using a tennis ball and ice-hockey sticks."
840,Unicycling Racing — a competition which involves racing using a unicycle.
841,Unicycle Trials — a form of unicycling which involves participants riding a unicycle over obstacles without any part of the rider touching the ground.
842, Unicycling — sports using a single wheel cycle.
843,Urban Golf — golf played anywhere that there's free space and not too many people about.
844,Vajra-mushti — an Indian martial art in which a knuckleduster-like weapon called the Vajra-mushti is employed.
845,Valencian Frontó — modified Valencian Pilota version of the original Basque Pelota game. The players don't stand face-to-face as in the more popular Valencian Pilota but share a common playing area.
846,"Valencian Pilota — is a traditional handball sport played in the Valencian Community of Spain. The ball is usually struck with a bare hand in a game involving two teams made from two up to five players each (depending on the particular version played). Unlike the original Basque Pelota, it is not played against a wall. Instead, teams are placed face to face separated either by a line on the ground or a net. Versions include Valencian Frontó."
847,"Varpa — an old outdoor game dating back to the Viking Age. It is similar to boules but played with a flat and heavy thrower known as ""varpa"" instead of balls, once made of shaped stones but nowadays aluminium is more popular."
848,"Varzesh-e Bastani — a traditional Iranian martial arts. The sport is practiced in a gymnasium called Zourkhaneh, which is another name by which the sport is known. Also called  Varzesh-e Pahlavani."
849,"Vault — an artistic gymnastics event for men and women, in which the athlete leaps over a vault or pommel horse, using the hands for pushing off."
850,Vert Skateboarding — an acrobatic sport in which athletes riding a skateboard perform various tricks while being airborne.
851,Vert Skating — acrobatic inline or roller skating sport performed on a ramp.
852,"Vigoro — an Australian sport that combines elements of Cricket and Baseball, mainly played by women. Played on a pitch shorter than for cricket, with a bat with a long handle like a paddle."
853,"Vintage Racing — a form of Auto-Racing, with vehicles limited to Vintage types."
854,"Volleyball — a game for two teams of six players, in which a large ball is hit by hand over a high net, the aim being to score points by making the ball reach the ground on the opponent's side of the court. See also Beach Volleyball. Similar sports and variations include Throwball, Newcomb Ball."
855,Vovinam — a Vietnamese martial art.
856,"Vx — a ball sport from the UK, originally known as Rock-It-Ball. It is played by two teams of five players. The court is roughly the size of a basketball court, with 5 balls in play. Players carry a VstiX for carrying, throwing and catching the ball."
857,Wakeboarding — riding a board and doing tricks on the wake behind a boat.
858,"Walking Football — a version of association football in which players are only allowed to walk during game play, developed for older people to keep fit."
859,"Walking Netball — a variation of netball, in which players can only walk, developed for older people to keep active."
860,Wallball — a wall based sport similar to squash in which a hi-bounce rubber ball has to be hit onto the wall after a single bounce.
861,"Wallyball — a variation of volleyball, which is played on a racquetball court enclosed with walls on all four sides."
862,"Washer Pitching — a target throwing game similar to horseshoes, in which players take turns to toss washers into a box or hole."
863,Water Basketball — a mix of basketball and water polo played in a swimming pool with basketball goals.
864,"Water Polo — a team sport played in swimming pools, the aim is to pass the ball over the water and into the goal net."
865,Water Skiing — riders are pulled along behind a boat skimming atop the water wearing one or two skis.
866,Water Volleyball — a team sport derived from volleyball in which the games are played in water.
867,"Weightlifting — in Olympic Weightlifting competitors attempt to lift weights, mounted on barbells, above their head."
868,"Weight Throw — a family of heavy weight throwing events, in which the objective is to either throw the weight as far as possible or as high as possible."
869,Western Pleasure — a horse show competition in which horses are evaluated for their manners and composure.
870,Wheelchair Basketball — basically regular basketball played on a wheelchair.
871,Wheelchair Curling — a variation of curling in which athletes with a disability affecting their lower limbs use a wheelchair to play the sport.
872,Wheelchair Dancing — all of the participants of a team perform dance routines while riding on a wheelchair.
873,Wheelchair Fencing — a version of Fencing in which disabled athletes fight with thin swords while sitting in wheelchairs which are tightly fastened to the floor.
874,Wheelchair Racing — a type of racing in which athletes with physical disabilities compete with the help of a wheelchair.
875,Wheelchair Rugby — a full contact indoor team sport conducted for players with disabilities.
876,Wheelchair Rugby League — a version of rugby league football but played using a wheelchair.
877,Wheelchair Tennis — a version of lawn tennis for those who have lower body disabilities.
878,Whitewater Slalom — a kayaking and canoeing sport in which athletes use a kayak or canoe to navigate through a course that consists of hanging gates on river rapids.
879,"Wiffleball — a variation of Baseball designed for indoor or outdoor play in confined areas, using a perforated, light-weight, rubbery plastic ball and a long, plastic yellow) bat."
880,Windsurfing — riding a modified surfboard manoeuvered using a sail on a movable mast.
881,"Wingsuit Flying — a type of skydiving, where a person will fly in the air using a special jumpsuit called the wingsuit."
882,Winter Guard — an indoor sport of the color guard discipline in which teams perform several routines using supporting equipment to recorded background music.
883,"Winter Triathlon — athletes compete in running, mountain biking and cross-country skiing."
884,Women's lacrosse — a limited-contact version of lacrosse.
885,"Woodball — a sport where a mallet is used to pass a ball through gates. This game can be played in grass, sand or indoor. See also Beach Woodball."
886,Wood Chopping — participants attempt to cut or saw a log or other types of wood in the quickest time.
887,Wrestling — a general term for a combat sport between two competitors involving grappling type techniques. Popular forms include the Olympic styles of Greco-Roman and Freestyle. There are many regional forms of wrestling.
888,Wushu — a full-contact sport derived from traditional Chinese martial arts.
889,"Xare — a racket sport, a form of Basque pelota, where players face each other across a net which is strung across the middle of an indoor court."
890,"Xingyiquan — is one of the major ""internal"" styles of Chinese martial arts (probably not a sport)."
891,"Yağlı Güreş — Turkish for Oil Wrestling, also called grease wrestling. In this form of wrestling  the wrestlers cover themselves in oil. It is the national sport of Turkey."
892, Yak Polo — a Mongolian variation of the sport Polo played on yaks instead of on horses.
893,Yotsudama — a variation of Four-Ball carom billiards played in East Asia.
894,Yo-Yo — the competition version of playing with a yo-yo.
895,"Yubi Lakpi — a seven-a-side traditional football game with similarities to rugby played in Manipur, India, using a coconut."
896,"Yukigassen — a snowball fighting-competition played between two teams with seven players each, originated in Japan."
897,Zorb Football — a team sport that was derived from association football (soccer) in which players are encased in an inflated bubble called Zorb.
898,"Zourkhaneh — the Zourkhaneh (house of strength) is the traditional gymnasium where the sport of Varzesh-e Bastani or Pahlavani is practiced. The sport is sometimes known by this name. Alternative spellings are Zurkhaneh, Zorkhana or Zourkhaneh."
899,Zui Quan — The words mean Drunken Fist in Chinese. Also known as Drunken Boxing or Drunkard's Boxing.
