no,merek dagang,tujuan,kategori
1183,BRAVE 150 SL ,gulma berdaun lebar Borreria alataClidemia hirtagolongan rumputOttochloa nodosaPaspalum conjugatum  ,umum 
1184,BESTOP 530 SL ,gulma berdaun lebar Borreria alataClidemia hirtaMikania micranthagolongan rumputIschaemum timorenseOttochloa nodosa ,umum 
1185,TRABAS 150 SL ,gulma berdaun lebar Borreria alataChromolaena odorata ,umum 
1186,TRABAS 150 SL ,gulma berdaun lebar Ageratum conyzoidesClidemia hirtagulma berdaun sempitIschaemum timorense Ottochloa nodosa  ,umum 
1187,DELTAXONE 280 SL* ,gulma berdaun lebar Ageratum conyzoidesClidemia hirtaMikania micranthagolongan rumputAxonopus compressus  ,umum 
1188,"HERLING 150 SL, KEN - UP HITECH 75 SG ",gulma berdaun lebar Ageratum conyzoidesMikania micranthagolongan rumputIschaemum timorense  ,umum 
1189,INDO UP 490 SL ,gulma berdaun lebar Borreria alataChromolaena odoratagolongan rumputOttochloa nodosaPaspalum conjugatum ,umum 
1190,BIOSAT 480 SL ,gulma berdaun lebar Ageratum conyzoidesChromolaena odorataMikania micranthagolongan rumputOttochloa nodosaPaspalum conjugatum ,umum 
1191,DEL UP 490 SL ,gulma berdaun lebar Ageratum conyzoidesBorreria alataMikania micranthagolongan rumputDigitaria cyliaris  ,umum 
1192,AGIL 100 EC ,gulma berdaun lebar Ageratum conyzoidesBorreria alatagulma berdaun sempit Axonophus compressus  ,umum 
1193,GULMAXONE 276 SL* ,gulma berdaun lebarBorreria alataMikania micrantha ,umum 
1194,BATARA 135 SL* ,gulma berdaun lebarBorreria alataMikania micrantha ,umum 
1195,PRIMAX 480/1 SL ,gulma berdaun lebarAgeratum conyzoidesAsystasia gangeticaCleomae rutidospermaLudwigia perensisSynedrella nodifloragulma berdaun sempitPanicum repens ,umum 
1196,PROMOLON 501 EC ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Clidemia hirta, Diodia sarmentosa ",umum 
1197,SOLO 490 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Clidemia hirta, gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa ",umum 
1198,NARALLY 20 WP ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Chromolaena odorata, Mikania micrantha, Synedrella nodiflora ",umum 
1199,SHARINGAN 555 SL ,gulma berdaun lebar Borreria alatagolongan rumputAxonopus compressusottochloa nodosaPanicum repensPaspalum conjugatum ,umum 
1200,GULMAXONE 276 SL* ,golongan rumput Paspalum conjugatum  ,umum 
1201,"BASMIRUMPUT 495 SL, ELANG GOLD 480 SL, SUPREMO 480 SL ",alang-alang Imperata cylindrica ,umum 
1202,BATARA 135 SL* ,golongan rumputOttochloa nodosa ,umum 
1203,DIMANAM 865 SL ,gulma berdaun lebar Ageratum conyzoidesMikania micranthaBorreria alataSynedrella nodiflorasemak/berkayu Chromolaena odorata  ,umum 
1204,BENSON 10 WP ,gulma berdaun lebar Ageratum conyzoidesSynedrella nodifloragulma berdaun sempit Axonopus compressus Paspalum conjugatum  ,umum 
1205,HERBIKUAT 276 SL* ,Gulma berdaun lebar Asystasia gangetica Borreria alataMikania micrantha ,umum 
1206,GHARDA 365 SL ,Gulma berdaun lebar Borreria alataCalopogonium  mucunoides Mikania micranthaGulma berdaun sempit Ottochloa nodosaPaspalum conjugatum  ,umum 
1207,BITOP 531 SL ,gulma berdaun lebar Borreria alatagulma berdaun sempit Ottochloa nodosa ,umum 
1208,ADMIL 160 SL ,"gulma berdaun lebar Praxelis clematidae; gulma berdaun sempit Paspalum comersonii, Digitaria ciliaris ",umum 
1209,MATTEO ULTRAMAX 660 SL ,"gulma berdaun lebar Synedrella nodiflora, Stachytarpheta indica; gulma berdaun sempit Setarria palmifolia, Ottochloa nodosa ",umum 
1210,PENTAUP-Z 480 SL ,gulma berdaun sempitAxonopus compressusOttochloa nodosaPennissetum polystachyon ,umum 
1211,SANTAQUAT 276 SL* ,gulma berdaun sempitOttochloa nodosa ,umum 
1212,SHOTQUAT 310 SL* ,gulma berdaun sempit Ischaemum timorense ,umum 
1213,JAMATE 480 SL ,gulma berdaun sempit Paspalum conjugatum ,umum 
1214,SIKSAK BARIS 486 SL ,gulma berdaun sempit Setaria plicata ,umum 
1215,BASTAMET 155 SL ,"gulma daun lebar Ageratum conyzoides; gulma berdaun sempit Axonophus compressus, Imperata cylindrica, Ischaemum timorense, Ottochloa  nodosa, Setaria palmifolia ",umum 
1216,ROVER 60 WG ,pakisStenochlaena palustris ,umum 
1217,LIUXONE 150 SL* ,"gulma berdaun lebar Mikania micrantha; gulma berdaun sempit Ischaemum timorense, Paspalum conjugatum ",umum 
1218,PAMUNGKAS ULTRAMAX 660 SL ,"gulma berdaun lebar Borreria alata, Synedrella nodiflora, Peperomia pellucida; gulma berdaun sempit, Ottochloa nodosa  Setaria palmifolia  Axonophus compressus ",umum 
1219,JUMP UP 555 SL ,"gulma berdaun lebar Chromolaena odorata, Synedrella nodiflora, Mikania micrantha, gulma berdaun sempit Axonopus compressus, Ischaemum timorense ",umum 
1220,BRANTAXONE 276 SL* ,"gulma berdaun lebar Diodia sarmentosa, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Paspalum conjugatum ",umum 
1221,RUUM UP 500 SL ,gulma berdaun lebar Mikania micrantha ,umum 
1222,GALATOP 620 SL ,"gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ottochloa nodosa, Setaria plicata, semak berkayu Diodia sarmentosa ",umum 
1223,"AMCOZONE 276 SL*, JAMATE 480 SL ","gulma berdaun lebar Borreria alata, Mikania micrantha; gulma berdaun sempit Ischaemum timorense ",umum 
1224,PROPEL 276 SL* ,"gulma berdaun lebar Borreria alata, Mikania micrantha; gulma berdaun sempit Ischaemum timorense, Paspalum conjugatum ",umum 
1225,MARADONA 490 SL ,"gulma berdaun lebar Borreria alata, Synedrella nodiflora, Mikania micrantha; gulma berdaun sempit Ottocloa nodosa, Ischaemum timorense ",umum 
1226,ALKOR 480 SL ,"gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ottochloa nodosa, Setaria plicata ",umum 
1227,NARAXONE 320 SL* ,"gulma berdaun lebar Borreria alata, Mikania micrantha, gulma berdaun sempit Ischaemum timorense, Setaria plicata ",umum 
1228,RIDOX 480 SL ,"gulma berdaun lebar Borreria alata, Clidermia hirta, Melastoma affine, Mikania micrantha; golongan rumput Brachiaria mutica, Ottochloa nodosa, Setaria plicata ",umum 
1229,ANIMO 150 SL ,"gulma berdaun lebar Boreria alata, Clidermia hirta, Mikania micrantha, Synedrella nodiflora; gulma berdaun sempit Ischaemum timorense, Ottochloa nodosa, Paspalum conjugatum ",umum 
1230,PAPANDAYAN 486 SL ,"gulma berdaun lebar Borreria alata, Chromolaena odorata, Clidemia hirta, Mikania micrantha; gulma berdaun sempit Ischaemum timorense, Paspalum conjugatum ",umum 
1231,WINGLOS 150 SL ,"gulma berdaun lebar Asystasia gangetica, Mikania micrantha; gulma berdaun sempit Ottochloa nodosa, Setaria plicata ",umum 
1232,RAMPAS 486 SL ,"gulma berdaun lebar Asystasia gangetica; gulma berdaun sempit Imperata cylindrica, Panicum repens ",umum 
1233,PRIMAKUAT 135 SL* ,"gulma berdaun lebar Asystasia intrusa, Borreria alata, Clidermia hirta, Synedrella nodiflora; golongan rumput Anoxopus compressus, Ottochloa nodosa ",umum 
1234,CHOPPER 495 SL ,"gulma berdaun lebar Asystasia gangetica, Clidermia hirta, Erechtithes valerianifolia, Erigeron sumatrensis, Synedrella nodiflora; gulma berdaun sempit Paspalum conjugatum, Ottochloa nodosa, Setaria palmifolia ",umum 
1235,GLUFOSIN 200 SL ,"gulma berdaun lebar Asystasia gangetica, Chromolaena odorata, Mikania micrantha, Mikania timorense; golongan rumput Ischaemum timorense, Ottochloa nodosa, Paspalum conjugatum, Setaria plicata ",umum 
1236,ENKASUL 150 SL ,"gulma berdaun lebar Asystasia gangetica, Borreria alata, Mikania micrantha; gulma berdaun sempit, Ischaemum timorense, Ottochloa nodosa, Setaria plicata ",umum 
1237,MEGAQUAT 277 SL* ,"gulma berdaun lebar Asystasia gangetica, Borreria alata, Mikania micrantha; gulma berdaun sempit Ischaemum gargetica, Ottochloa nodosa, Setoria plicata ",umum 
1238,SIKSAK BARIS 486 SL ,"gulma berdaun lebar Asystasia gangetica, Borreria alata, Mikania micrantha; gulma berdaun sempit Ischaemum timorensis ",umum 
1239,NOXONE MIX 308 SL* ,gulma berdaun lebarClidemia hirtaMikania micranthagolongan rumputOttochloa nodosapakisStenochlaena palustris ,umum 
1240,GALAXONE 138 SL* ,gulma berdaun lebarMikania micrantha ,umum 
1241,WINTAG 490 SL ,gulma berdaun lebarSynedrella nodifloragolongan rumputOttochloa nodosa ,umum 
1242,TITANIC 480 SL ,gulma berdaun lebarSynedrella nodifloragulma berdaun sempitOttochloa nodosa ,umum 
1243,SAPURATA 480 SL ,Gulma berdaun lebar Ageratum conyzoidesBorreria alataSynedrella nodifloraGulma berdaun sempitOttochloa nodosa ,umum 
1244,SPEEDUP 480 SL ,gulma berdaun lebar Borreria alataBorreria latifoliaCalopogonium mucunoidesEuphorbia hirtaMikania micranthagulma berdaun sempit Digitaria ascendensDigitaria ciliarisIschaemum timorenseteki Cyperus rotundus ,umum 
1245,SWEEPER 480 SL ,gulma berdaun lebar Borreria alataMitracarpus vilosusSynedrella nodifloragulma berdaun sempit Axonopus compressus  ,umum 
1246,JOTOS 490 EC ,gulma berdaun lebar  Clidemia hirta              Melastoma affine ,umum 
1247,KENLON 480 EC ,gulma berdaun lebar   Mikania micrantha       Synedrella nodiflora    Chromolaena odorata  ,umum 
1248,PARATONE 280 SL* ,"gulma berdaun lebar Ageratum conyzoides, Asystasia gangetica, Borreria alata, Mikania micrantha, Synedrella nodiflora; golongan rumput Ischaemum timorense, Ottochloa nodosa ",umum 
1249,MEKTIXONE 177 SL* ,"gulma berdaun lebar Ageratum conyzoides, Asystasia gangetica, Borreria alata, Synedrella nodiflora; golongan rumput Ischaemum timorense ",umum 
1250,JAXXON 140 SL* ,"gulma berdaun lebar Ageratum conyzoides, Asystasia intrusa, Peperomia pelucida; gulma berdaun sempit Axonopus compressus, Ottochloa nodosa, Setaria palmifora ",umum 
1251,FOSINAT 165 SL ,"gulma berdaun lebar Ageratum conyzoides, Boreria alata, Synedrella nodiflora; golongan rumput Digitaria sangunialis ",umum 
1252,KRESNAXONE 297 SL* ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Clidenia hirta, Mikania micrantha, gulma berdaun sempit Ischaemum timorense ",umum 
1253,PRIMABEST 150 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Eupatorium odoratum; gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum ",umum 
1254,OWEN 300/100 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Synedrella nodiflora; golongan rumput Ischaemum timorense, Ottochloa nodosa ",umum 
1255,ROLIZAPYR 75 WG ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata; golongan rumput Anoxopus compressus ",umum 
1256,BM TRICALON 318 EC ,"gulma berdaun lebar Ageratum conyzoides, Chromolaena odorata, Melastoma affine ",umum 
1257,BINATOP 525 SL ,"gulma berdaun lebar Ageratum conyzoides, Chromolaena odorata, Mikania micrantha, Peperomia pellucida, Synedrella nodiflora; gulma berdaun sempit Ottochloa nodosa ",umum 
1258,TOPUP 525 SL ,"gulma berdaun lebar Ageratum conyzoides, Clidemia hirta, Melastoma malabatricum, gulma berdaun sempit Ottochloa nodosa ",umum 
1259,RUUM UP 500 SL ,"gulma berdaun lebar Ageratum conyzoides, Clidemia hirta; golongan rumput Axonopus compressus, Ottochloa nodosa, alang-alang Imperata cylindrica; teki Cyperus sp. ",umum 
1260,DKLIFOSAT 480 SL ,"gulma berdaun lebar Ageratum conyzoides, Clidermia hirta, Erigeron sumatrensis; gulma berdaun sempit Axonopus compressus, Ottochloa nodosa, Paspalum conjugatum, Setaria plicata ",umum 
1261,LIFELINE 280 SL ,"gulma berdaun lebar Ageratum conyzoides, Clidermia hirta, Mikania micrantha; gulma berdaun sempit, Ischaemum timorense, Ottochloa nodosa, Setaria plicata ",umum 
1262,RIDATOP 288 SL* ,"gulma berdaun lebar Ageratum conyzoides, Erigeron sumantrensis, Mikania micrantha; golongan rumput Brachiaria mutica, Imperata cylindrica, Ottochloa nodosa, Paspalum conjugatum ",umum 
1263,RINJANI 490 SL ,"gulma berdaun lebar Asystasia gangetica, Borreria alata, Chromolaena odorata, Mikania micrantha; gulma berdaun sempit Ottochloa nodosa, Paspalum conjugatum ",umum 
1264,PUDDAKO 210 SL ,"gulma berdaun lebar Asystasia gangetica, Borreria alata, Clidermia hirta, Mikania micrantha; golongan rumput Ischaemum timorense ",umum 
1265,SHOTQUAT 310 SL* ,"gulma berdaun lebar Asystasia gangetica, Borreria alata, Clidermia hirta, Mikania micrantha; gulma berdaun sempit Ottochloa nodosa, Setaria plicata ",umum 
1266,OKEXONE 138 SL* ,"gulma berdaun lebar Asystasia gangetica, Borreria alata, Micania micrantha; gulma berdaun sempit, Ischaemum timorense ",umum 
1267,SRI HANG US 150 SL ,"gulma berdaun lebar Asystasia gangetica, Borreria alata, Mikania micrantha, Synedrella nodiflora; golongan rumput Ischaemum nodosa, Paspalum conjugatum, Ottochloa nodosa, Setaria plicata ",umum 
1268,WIDCLEAR 288 EC ,gulma berdaun lebarBorreria alataDiodia sarmentosaMikania micrantha ,umum 
1269,LIFELINE 280 SL ,gulma berdaun lebarBorreria alata ,umum 
1270,BM TRICALON 480 EC ,gulma berdaun lebarBorreria alataClidemia hirta Mikania micranthaSynedrella nodiflora ,umum 
1271,"ROVER 60 WG, TRITHAC 350 EC ",gulma berdaun lebarBorreria alataClidemia hirta ,umum 
1272,AMMOSAT 125 SL ,gulma berdaun lebarBorerria alataMikania micranthagolongan rumputOttochola nodosa Paspalum conjugatum ,umum 
1273,TRIESTER GOLD 670 EC ,gulma berdaun lebarBorreria alataChromolaena odorataClidermia hirtaMikania micranthaSynedrella nodiflora ,umum 
1274,ASSET 190 SL ,gulma berdaun lebarAgeratum conyzoidesCalopogonium muconoidesMikania micranthagolongan rumputOttochola nodosa ,umum 
1275,STARTREK 288 EC ,gulma berdaun lebarAgeratum conyzoides ,umum 
1276,KLEENUP 480 SL ,gulma berdaun lebarAgeratum conyzoidesgolongan rumputSetaria plicataalang alangImperata cylindrica ,umum 
1277,SHUT-UP 500 SL ,alang-alangImperata cylindrica ,umum 
1278,MEKTIXONE 177 SL* ,golongan rumputOttochloa nodosa ,umum 
1279,FOSINAT 165 SL ,golongan rumput Anoxopus compressus ,umum 
1280,PUDDAKO 210 SL ,golongan rumput Ottochloa nodosa ,umum 
1281,HERBATOP 276 SL* ,gulma berdaun lebarAgerantum sp.Borerria alataErigeron sumatrensisgolongan rumputAxonopus compresus ,umum 
1282,AGNI 865 SL ,Gulma berdaun lebarAgeratum conyzoidesBorreria alataSynedrella nodiflora ,umum 
1283,ERKAREN 480 EC ,gulma berdaun lebar Borreria alataMimosa pigraTetracera indicaWidelia bifloragulma berdaun sempit Ottochloa nodosa  ,umum 
1284,GLYTRON 310/49 EC ,gulma berdaun lebar  Borreria alataMikania Micranthagulma berdaun sempitPaspalum conjugatum  ,umum 
1285,ROUNDUP POWERMAX 660 SL ,gulma berdaun lebar Chromolaena odorataMikania micranthagolongan rumputIschaemum timorenseSetaria plicata ,umum 
1286,PRIMA UP 480 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Synedrella nodiflora, Mikania micrantha, gulma berdaun sempit Ottochloa nodosa ",umum 
1287,BECANO 500 SC ,"gulma berdaun lebar Ageratum conyzoides, Borreria repens, Commelina benghalensis, Synedrella nodiflora, gulma berdaun sempit Digitaria ciliaris, teki Cyperus kyllingia ",umum 
1288,GLIDAMIN 300/100 SL ,"gulma berdaun lebar Ageratum conyzoides, Mikania sp.,  gulma berdaun sempit Axonopus compressus, Setaria barbata ",umum 
1289,STARANE 480 EC ,gulma berdaun lebar Mikania micrantha ,umum 
1290,STARANE 480 EC ,semak belukar Chromolaena odorata ,umum 
1291,BENXONE 276 SL* ,gulma berdaun lebarBorreria alataMikania micranthagolongan rumputPaspalum conjugatum ,umum 
1292,HERBIGO 200 SL ,golongan rumput Axonopus compressus ,umum 
1293,BARCA 150 SL ,"gulma berdaun lebar Ageratum conyzoides, Asystasia gangetica, Borreria alata, Mikania micrantha; golongan rumput Paspalum conjugatum ",umum 
1294,HERBIGO 200 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Synedrella nodiflora; golongan rumput Ischaemum timorense, Ottochloa nodosa ",umum 
1295,GLUFOS 200 SL ,"gulma berdaun lebar Asystasia gangetica, Mikania micrantha; golongan rumput Axonopus compresus, Ottochloa nodosa ",umum 
1296,PARADIGM 276 SL ,"gulma berdaun lebar Asystasia intrusa, Borreria alata, Nephrolepis biserrata; gulma berdaun sempit Axonopus compressus, Ottochloa nodosa, Setaria plicata ",umum 
1297,BORAL 480 SC ,"gulma berdaun lebar Synedrella nodiflora, Ageratum conyzoides, Commelina benghalensis; gulma berdaun sempit Eleusine indica; teki Cyperus iria ",umum 
1298,JOKER 75 SP ,"ulat kantong  Metisa plana, ulat api, Thosea asigna ",umum 
1299,"BADIK 18 EC, BM PROMAX 75 SP, CAPTURE 50 EC, CHEPATE 75 SP, DIAZINON 600 EC, MANUVER 400 SL, RESPECT 200 EC, RUDAL 25 EC ",ulat kantong Metisa plana ,umum 
1300,MARSHAL 200 EC ,"ulat kantong Metisa plana, hama Sexava nubila ",umum 
1301,PREVATHON 50 SC ,ulat penggerek buahTirathaba rufivene ,umum 
1302,ORTRAN 75 SP ,ulat kantongMetisa plana ,umum 
1303,FASTAC 15 EC ,"ulat api Thosea asigna, Setora nitens ",umum 
1304,AMCOTHENE 75 SP ,ulat api Setothosea assigna ,umum 
1305,"BRAVO 50 EC, CHLORMITE 400 EC, DECIS 25 EC, DIMILIN 25 WP, FENVAL 200 EC, MATADOR 25 EC, OSCAR 25 EC, SCUD 50 EC ",ulat api Thosea asigna ,umum 
1306,VELOCE 400 SL ,"ulat api Setothosea asigna, ulat kantong Metisa plana ",umum 
1307,"KLENSECT 200 EC, SEVIN 85 SP ",ulat api Setora nitens ,umum 
1308,PREVATHON 50 SC ,"ulat api Setora nitens, ulat kantong Metisa plana ",umum 
1309,"DELTA 25 EC, ERKATRIN 30 EC, INOVATE 100 EC, INSTOP 311 EC, METEOR 25 EC, PHOSTHENE 97 WG, RUDAL 25 EC, SUMIALPHA 25 EC, TREBON 95 EC ",ulat api Setothosea asigna ,umum 
1310,CAPTURE 50 EC ,"ulat api Setothosea asigna, hama kumbang tanduk Oryctes rhinoceros ",umum 
1311,"ACTARA 25 WG, AGRIMEC 18 EC ",rayap tanah Coptotermes cuvignathus ,umum 
1312,SOPETON 108 EC ,ulat apiSetothosea asigna ,umum 
1313,"ASPRIL 100 SC, CONFIDOR 200 SL, PENALTY 50 SC, PREVATHON 50 SC ",rayap tanah Coptotermes curvignathus ,umum 
1314,GARLON 670 EC ,gulma berdaun lebar Chromolaena odorata ,umum 
1315,FIPROS 55 SC ,hama rayap Coptotermes curvignathus  ,umum 
1316,FORZA 50 SC ,hama rayap Coptotermes curvignathus ,umum 
1317,RAJATRIN 250 EC ,hama ulat apiThosea asigna ,umum 
1318,SULVAN 5 GR ,kumbang tanduk Oryctes rhinoceros ,umum 
1319,CYPERTOP 200 EW ,penggerek pucuk Oryctes rhinoceros ,umum 
1320,EXPLORE 250 EC ,penyakit barcak daun coklat Curvularia maculans ,umum 
1321,"CORONA 325 SC, PHYTOKLOR 82,5 WG ",penyakit bercak daun coklat Culvularia maculans ,umum 
1322,AMORA 200 SL ,"gulma berdaun lebar Clidermia hirta, Mikania micrantha, Synedrella nodiflora; gulma berdaun sempit Ottochloa nodosa, Ischaemum timorensis ",umum 
1323,CETAR 555 SL ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Drymaria villosa, Mikania micrantha, Synedrella nodiflora; gulma berdaun sempit Ottocloa nodosa , Setaria plicata ",umum 
1324,BM GLYMORE 33 SP ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Mikania micrantha; gulma berdaun sempit Ottocholoa nodosa, Imperata cylindrica, Paspalum conjugatum ",umum 
1325,AMORA 200 SL ,"gulma berdaun lebar Asystasia intrusa, Borreria alata ",umum 
1326,AMORA 150 SL ,"gulma berdaun lebar Asystasia intrusa, Borreria alata, Mikania micrantha; gulma berdaun sempit Ottochloa nodosa, Ischaemum timorensis, Paspalum conjugatum ",umum 
1327,PORSELEN 5 SG ,ulat apiSetothosea asigna ,umum 
1328,"JOKER GRAN 97 SG, ORTHENE 75 SP, ORTRAN 75 SP, STARTHENE 75 WG ",ulat kantongMetisa plana ,umum 
1329,CHIX 25 EC ,ulat apiSetora nitens ,umum 
1330,"STORM 0,005 BB ",tikus pohonRattus tiomanicusTikus belukarRattus tiomanicusTikus sawahRattus argentiventer ,umum 
1331,THURICIDE HP  ,ulat apiSetora nitensThosea asigna ,umum 
1332,WASH UP 480 SL ,"gulma berdaun lebar Asystasia gangetica, Borreria alata; gulma berdaun sempit Ottochloa nodosa ",umum 
1333,REGIMENT 480 SL ,"gulma berdaun lebar Asystasia intrusa, Borreria alata, Mikania micrantha; gulma berdaun sempit, Axonoplus compressus, Ottochloa nodosa ",umum 
1334,WASH UP 480 SL ,gulma berdaun lebar Clidermia hirta ,umum 
1335,"JAYARIS 240 SL, WASH UP 480 SL ",gulma berdaun sempit Ischaemum timorense ,umum 
1336,RHINOMAS L. ,hama kumbang badakOryctes rhinoceros ,umum 
1337,"ORY LURE 0,0005 SL ",hama kumbang tandukOryctes rhinoceros ,umum 
1338,"STARTHENE 75 WG, STARTHENE 75 WG ",kumbang tandukOryctes rhinoceros ,umum 
1339,"SUTEKI 93,40 RB ",kumbang tanduk Oryctes rhinoceros ,umum 
1340,PALMEGA 200 SL ,mencegah kerontokan buah ,umum 
1341,BM MASCONIL 50 SC ,rayapCoptotermes curvignathus ,umum 
1342,LESENTA 80 WG ,rayap tanahCoptotermes curvignatus ,umum 
1343,"TANIKUS 0,005 BB ",tikusRattus tiomanicus ,umum 
1344,"ALLUSIO 80 WP, CHITHAN 80 WP ",penyakit busuk daun Phytophthora infestans ,umum 
1345,NEMAGUARD 10 GR ,ulat tanah Agrotis ipsilon ,umum 
1346,BM PRONEB 70 WP ,penyakit busuk daun Phythopthora infestans ,umum 
1347,MANTEB 80 WP ,penyakit busuk daun Phytophthora infestans ,umum 
1348,"BESTOX 50 EC, JUPITER 25 EC, KLENSECT 200 EC ",hama trips Thrips palmi ,umum 
1349,MEILLER 50 SC ,"hama trips Thrips palmi, kutu daun Myzus persicae ",umum 
1350,SINARMETRIN 200 EC ,hama trips Thrips parvispinus ,umum 
1351,CLOSER 50 WG ,kutu daunMyzus persicae ,umum 
1352,KANON 400 EC ,kutu daun Myzus persicae ,umum 
1353,GUNTUR 75 WP ,kutu daun Myzus persicae ,umum 
1354,TOTAL 10/40 EC ,"kutu daun Myzus persicae, hama Thrips parvispinus ",umum 
1355,"CONFIDOR 200 SL, PENALTY 50 SC, RUDOR 200 SL ","kutu daun Myzus persicae, hama trips Thrips palmi ",umum 
1356,SIDAFUR 3 GR ,hama nematoda bintil akar Meliodogyne sp. ,umum 
1357,SIDACRON 510 EC ,hama penggerek daun/umbi Phthorimaea operculella ,umum 
1358,VOLIAM TARGO 63 SC ,hama penggorok daun Liriomyza huidobrensis ,umum 
1359,MARSHAL 200 EC ,hama Thrips palmi ,umum 
1360,FURY 50 EC ,hama trips Thrips sp.  ,umum 
1361,EVISET 50 SP ,hama kutu daunMyzus persicae ,umum 
1362,WIPER 50 EC ,"hama kutu daun Myzus persicae, pengorok daun Liriomyza huidobrensis ",umum 
1363,ALTERNA 90 WP ,busuk daun Phytophthora infestans ,umum 
1364,ZENICORE 70 WP ,"gulma berdaun lebar Ageratum conyzoides, Borreria alata, Synedrella nodiflora, gulma berdaun sempit Digitaria ciliaris ",umum 
1365,"REGENT 0,3 GR ",ulat tanah agrotis ipsilon ,umum 
1366,FLASHER 250 SC ,penyakit layu Fusarium oxysporum ,umum 
1367,RAMPAGE 100 EC ,perusak daunPlutella xylostella ulat kropCrocidolomia pavonanapengorok daunLiriomyza huidobrensishama tripsThrips palmi ,umum 
1368,STARNER 20 WP ,penyakit layu bakteri Pseudomonas solanacearum ,umum 
1369,"ABADO 50 WP, AGROKOL 70 WP, ALFART 25 WP, ALPINE 80 WP, AMFONIL 75 WP, APIKOL 70 WP, AZOXA PLUS 560 SC, BIONIL 75 WP, BIOTHANE 80 WP, BIOXAN 50 WP, BIOZEB 80 WP, CITARA 250 EC, CYMOX 50 WP, DACONIL COMBI 60/20 WP, DACONIL PLUS 60/20 WP, DARGO 76 WP, DEECOR - M 72 WP, FASTGOPAZ 50 SC, FUTSANIL 50 WP, HEROZEB 80 WP, INDOSIL 50 WP, KELONIL 75 WP, LOGIC 70 WP, LONGER 75 WP, MAINCOP 50 WP, MAXANIL 27 WP, METAZEB 80 WP, NAUTILE 68/5 WG, PHYTOKLOR 82,5 WG, PRONIL 75 WP, PROPLANT 722 SL, PROTOCOL 70 WP, QIUTANE 80 WP, RAINCOZEB 80 WP, READERS 80 WP, ROMANIL 72/8 WP, RYNOD 75 WP, SANVORY 75 WP, SCUDETO 20 WP, SIODAN 20 WP, SPIRO M-45 80 WP, TOXINIL 720 SC, TRIDANIL 50 WP, TRUCKTOR 80 WP, VELICA 20 WP, Z-ZIMOX 20 WP, Z-ZIMOX 64/8 WP, ZAMPRO 525 SC, ZEBINDO 80 WP, ZENITH 75 WP ",penyakit hawar daun Phytophthora infestans ,umum 
1370,ARYTOP 300 EC ,Penyakit busuk kering Alternaria solani ,umum 
1371,"MANIC 62,5 WG ",penyakit hawar daunPhytophthora infestans ,umum 
1372,"CORONA 325 SC, DACONIL PLUS 60/20 WP, DORUM 350 SC, EXPLORE 250 EC, FENOSIDA 255 EC, TIFLO 80 WP ",penyakit bercak coklat Alternaria solani ,umum 
1373,RAKSA MAX 80 WP ,"penyakit busuk daun Phytophthora infestans, penyakit bercak kering Alternaria solani, penyakit layu Fusarium oxysporum ",umum 
1374,ALFAMEX 18 EC ,"pengorok daun Liriomyza huidobrensis, hama trips Thrips tabaci ",umum 
1375,BADIK 18 EC ,"pengorok daun Liriomyza huidobrensis, penggerek umbi Phthorimeae operculella ",umum 
1376,"AGROTECH 722 SL, ARSECA 8/64 WP, BAZOKA 80 WP, CABRIOTOP 60 WG, CAMINOX 250 SC, COZEB 80 WP, CURZATE 8/64 WP, EXONIL 50 WP, FOLIRFOS 400 SL, GITA 80 WP, GROWNIL 75 WP, INDOTHANE 80 WP, KENCOZEB 80 WP, MERPAN 80 WG, PREVICUR-N 722 SL, PROLAXYL 25 WP, PROPINEX 70 WP, PYRAMID 72 WP, QIUNIL 75 WP, RHONEB 80 WP, ROTANIL 75 WP, SAGRI-NIL 77 WP, SARINEB 80 WP, SIDAZEB 80 WP, SPHINX 500 SC, STARMYL 25 WP, TANIRAM 80 WP, TANZEB 80 WP, TRITHANE 80 WP, VICTORY 80 WP, VICTORY MIX 8/64 WP, VIDI 722 SL ",penyakit busuk daun Phytophthora infestans ,umum 
1377,BENLOX 50 WP ,penyakit busuk daunPhytophthora infestans ,umum 
1378,ANTILA 80  WP ,penyakit busuk daun Phythopthora infestans ,umum 
1379,CABRIO 250 EC ,Penyakit bercak daunAlternaria solaniPenyakit hawar daunPhytophthora infestans  ,umum 
