no,nama media,jenis media,penanggung jawab,pemimpin redaksi,badan hukum,provinsi,alamat,email
782,semangatnews.com,Siber,"Zulnadi, SH","Zulnadi,SH",SEMANGAT CYBER MANDIRI,Sumatera Barat,"Jl . Raya Pagang No. 41a, Kel. Kurao Pagang, Kec. Nanggalo Padang, Padang. Sumatera Barat.",andrimaijar@gmail.com
783,topsatu.com,Siber,Khairul Jasmi,Widya Navis,Genta Singgalang Digital,Sumatera Barat,Jalan Veteran No 17 Padang,topsatudotkom@gmail.com
784,mediaaceh.com,Siber,HT Anwar Ibrahim,HT Anwar Ibrahim,ATRA MEDIA TRANSFORMASI,Aceh,"Jl. T. Lamgugob Sp 4 No 5 Gp Lamgugob, Kecamatan Syiah Kuala, Kota Banda Aceh, 23115",editormediaaceh@gmail.com
785,gopos.id,Siber,A Muhammad Yusuf Aulia Arifuddin,A Muhammad Yusuf Aulia Arifuddin,PT Kreatif Multimedia Nusantara,Gorontalo,"Jalan Pangeran Hidayat III, Wongkaditi Barat, Kecamatan Kota Utara, Kota Gorontalo, 96122, Alaamat Email: redaksi.gopos.id@gmail.com, nomor telepon +6281943418887",redaksi.gopos.id@gmail.com
786,pijarkepri.com,Siber,AJI ANUGRAHA,AJI ANUGRAHA,PT. PIJAR KEPRI ANUGRAH,Kepulauan Riau,"JL. Sei Carang Komplek Bintan Centre No.15, Tanjungpinang, Provinsi Kepulauan Riau. (Lantai 2-3)",pijarkepri8@gmail.com
787,www.realitakini.com,Siber,"Cimrawati,S.I.Kom","Cimrawati,S.I.Kom",PT. ECW Realita Karya,Sumatera Barat,"Rt.04 Rw.07 Kelurahan Kurao Pagang 
Padang - Sumatera Barat",realitakini01@gmail.com
788,60dtk.com,Siber,Usman Mato,Usman Mato,PT. Digital Sistem Informasi Media,Gorontalo,Jln. Ir. H. Joesoef Dalie. Kel. Dembe Jaya. Kec. Kota Utara. Kota Gorontalo. Prov. Gorontalo,60dtk.com@gmail.com
789,bogor-kita.com,Siber,Djony Edward,Djony Edward,Bogorkita Mediatama Indonesia,Jawa Barat,"Perumahan Bogor Raya Permai Blok FE 1 No 3, Bogor Barat, Kota Bogor",bogorkita@yahoo.com
790,rakyatterkini.com,Siber,AMRIL JAMBAK,AMRIL JAMBAK,PT. RAKYATTERKINI MEDIA PERDANA,Sumatera Barat,"Perum Palam Raya Blok C/1 Kampung Lalang, RT.003-RW.006, Kelurahan Pasang Ambacang, Kecamatan Kuranji, Kota Padang, Sumatera Barat",rakyaterkini@gmail.com
791,INIRIAU.COM,Siber,Luna Agustin,Luna Agustin,PT. INI RIAU MEDIATAMA,Riau,"Jl. Putri Indah Perumahan Sudirman Indah Blok A/3, Pekanbaru",redaksiiniriau@gmail.com
792,Alinea.id,Siber,Glenn Jolodoro,Khudori,Alinea Tek Nusantara,DKI Jakarta,"PT Alinea Tek Nusantara, Gedung Gapura Raya Lt. III, Jl. Bangka Raya No 4 Pela Mampang, Jakarta Selatan",wulanbaru@gmail.com
793,Harian Khazanah,Cetak,EKO YANCHE EDRIE,EKO YANCHE EDRIE,PT KHAZANAH MULTIMEDIA UTAMA,Sumatera Barat,JL KHATIB SULAIMAN NO 47 PADANG,hariankhazanah@gmail.com
794,Rajawali Televisi,Televisi,Makroen Sanjaya,Yulia D Supadmo,PT Metropolitan Televisindo,DKI Jakarta,"Gedung Atrium Mulia Suite 810, JI. H.R. Rasuna Said Kav. B10-11, Setiabudi, Jakarta 12910, Indonesia",geshya.maulia@rtv.co.id
795,Tribunpekanbaru.com,Siber,Hasanah Samhudi,Hasanah Samhudi,PT.Riau Media Grafika,Riau,"Jalan. H Imam Munandar No.383 RT 01 RW 04 Kel.Tangkerang Labuai, Kec.Bukit Raya, Pekanbaru 28281",hasanah_sl@yahoo.com
796,nadariau.com,Siber,BUDI SUSENO,BUDI SUSENO,PT BATANG SANGKI MEDIA,Riau,"JL TUANKU TAMBUSAI, KOMPLEK PURI NANGKA SARI, LT.II, NO.C7, KEL. TANGKARANG BARAT, KEC. MARPOYAN DAMAI, KOTA PEKANBARU, PROVINSI RIAU",nadariau.com@gmail.com
797,Kolaka Pos,Cetak,Eko Mardiatmo,Eko Mardiatmo,Kolaka Pos Intermedia,Sulawesi Tenggara,"Jl.DR Soetomo, No.20, Kelurahan Lamokato, Kecamatan Kolaka, Kabupaten Kolaka, Provinsi SulawesI Tenggara",redaksi.kolakapos@gmail.com
798,utamapost.co.id,Siber,Lailatul Aidil,Lailatul Aidil,Jelita Utama Media,Sumatera Barat,"Jl. Imam Bonjol, Komplek Korem Blok 7B. Kecamatan Padang Selatan. Kota padang. Provinsi Sumatera Barat",utamapost2019@gmail.com
799,Medcom.id,Siber,Abdul Kohar,Budiyanto,PT Citra Multimedia Indonesia,DKI Jakarta,"Jl. Pilar Mas Raya Kav. A-D, Kedoya, Kebon Jeruk, Jakarta barat 11520",finza.yugistira@metrotvnews.com
800,Masalembo.com,Siber,Harmegi,Harmegi,PT Fokus Media Sulbar,Sulawesi Barat,Jl. WR Monginsidi Padang Baka Timur Kelurahan Rimuku Kabupaten Mamuju Provinsi Sulawesi Barat,harmegirnews@gmail.com
801,cakaplah.com,Siber,HERI SUSANTO,DIAN ALHADI,"TATI NENGSIH, SH., M.Kn",Riau,"JALAN LEMBAGA PEMASYARAKATAN NO.22i LT.II KEL. TANGKERANG UTARA KEC BUKIT RAYA KOTA PEKANBARU, RIAU",redaksi@cakaplah.com
802,METROPOLITAN,Cetak,Drs H Hazairin Sitepu,Lucky Lukman Nul Hakim,PT BOGOR MEDIAPOLITAN,Jawa Barat,"Jl. KHR Abdullah Bin Nuh No. 30 Taman Yasmin
Curug Mekar Bogor Barat",r4win234@gmail.com
803,Riaupos.co,Siber,M Hapiz,FIRMAN AGUS,PT RIAU MULTIMEDIA CORPORINDO,Riau,"GEDUNG GRAHA PENA RIAU JLN HR SUBRANTAS KM 10.4 PANAM
KEL SIDOMULYO BARAT KEC TAMPAN PEKANBARU",pipinx25@gmail.com
804,Mata Pena,Cetak,Dedi,Oktomo Hadiansyah,Mata Pena Kepri,Kepulauan Riau,"Perum Taman Bukit Asri Blok C No. 22 Kota Tanjungpinang, Provinsi Kepri",elhasim22@gmail.com
805,beritabersatu.com,Siber,Asdar Palewai,Asdar Palewai,Alim Pratama Intermedia,Sulawesi Selatan,Jl. Persatuan Raya No. 11 Kelurahan Biringere Kecamatan Sinjai Utara,redaksiberitabersatu.com@gmail.com
806,Berita.news,Siber,Al Ullah Azhar,Srahlin Rifaid,PT Aurora Media Utama,DKI Jakarta,"Jl. MH Thamrin No 11 Gedung Sarinah Lt 13 Ruangan 1305, Kel. Gondangdia, Kec. Menteng, DKI Jakarta",auroramediautama@gmail.com
807,pojokcelebes.com,Siber,AHMAD UDYN,AHMAD UDYN,PT. MULTI MEDIA POJOK CELEBES,Sulawesi Barat,JALAN ABDUL MALIK PATTANA ENDENG KEL. SIMBORO KEC.SIMBORO KAB. MAMUJU PROV. SULAWESI BARAT ( SULBAR ),pojokcelebes@gmail.com
808,Sumut 24,Cetak,,,PT,Sumatera Utara,Jl. Sei Brantas No. 34 Medan Sumut,sumutduaempat@gmail.com
809,Harian Umum Belitong Ekspres,Cetak,Bardian Zakaria,Bardian Zakaria,Belitong Ekspres Jaya,Kepulauan Bangka Belitung,Jl. Jend. Sudirman RT. 005 RW. 002 Dusun Perawas Desa Perawas Kecamatan Tanjungpandan Kabupaten Belitung,bardian2121@gmail.com
810,Prosumut.com,Siber,Valdesz Junianto,S. Raja Sianturi,Konco Gagas Siber,Sumatera Utara,Jalan Letda Sujono Kompleks Peramas I No 65 Medan Estate,redaksiprosumut@gmail.com
811,Radar Madura,Cetak,Luqman Hakim,Luqman Hakim,PT Madura Intermedia Pers,Jawa Timur,"Jalan Soekarno-Hatta 99, Bilaporah, Socah, Bangkalan",jawaposradarmadura@gmail.com
812,PETISI,Cetak,"Sokip, SH","Sokip, SH",PT Petisi Pakal Indonesia,Jawa Timur,"Perusahaan : Perumahan Pondok Benowo Indah Blok CQ nomor 33 Surabaya
Redaksi : Grha PWI Jatim Jl. Taman Apsari 15-17 lantai II",sokippetisi@gmail.com
813,Radar Mojokerto,Cetak,MUKAS KULUKI,MUKAS KULUKI,PT MOJOKERTO INTERMEDIA PERS,Jawa Timur,JL R A BASUNI NO 96 JAMPIROGO SOOKO MOJOKERTO 61361,doanradarmojo@gmail.com
814,Jaya Baya,Cetak,Hari Cahyo Santoso,Titah Rahayu,PT.Jaya Baya Prabu Gendrayana,Jawa Timur,Komplek Taman Bungurasih Blok A2 no 2 Sidoarjo,sudirman.sn1049@gmail.com
815,Harian Umum Pelita Baru,Cetak,H Danang Donoroso,Billy Adhiyaksa,PT Pelita Media Perkasa,Jawa Barat,Jl Raya Sukahati No 9 Cibinong Bogor,iklanpelitabaru@gmail.com
816,radar bali,Cetak,Hari Puspita,Hari Puspita,PT Bali Intermedia Pers,Bali,Jl. Hayam Wuruk No. 294 Denpasar,reni.radarbali@gmail.com
817,radarbali.id,Siber,Ali Mustofa,Ali Mustofa,PT Bali Intermedia Digital,Bali,"Jalan Hayam Wuruk No. 294, Ds Sumerta Kelod, Denpasar Timur, Denpasar, Bali",onlineradarbali@gmail.com
818,ampera-news.com,Siber,HERU FACHROZI,"Ryan Maulana Said S.E.,S.H.,M.H.",MEDIA RYAN AMPERA,Lampung,LINGKUNGAN V A JL. BINTARA NO 99 KEL. YUKUM JAYA KEC. TERBANGGI BESAR KAB. LAMPUNG TENGAH,amperanews11@gmail.com
819,Ampera News,Cetak,HERU FACHROZI,"Ryan Maulana, S.E.,S.H.,M.H.",MEDIA RYAN AMPERA,Lampung,"LINGKUNGAN V A JL. BINTARA NO 99 RT 021 RW 009 KEL.YUKUM JAYA, KEC. TERBANGGI BESAR, KAB. LAMPUNG TENGAH",amperanews@yahoo.com
820,www.matakalteng.com,Siber,H SUTRANSYAH,H SUTRANSYAH,RAJA DIGITAL MEDIA,Kalimantan Tengah,"Jl, DI Panjaitan No. 33 RT.026/RW.004, Kelurahan Mentawa Baru Hilir, Kecamatan Mentawa Baru Ketapang, Kabupaten Kotawaringin Timur",beritamatakalteng@gmail.com
821,RMOL.ID,Siber,Teguh Santosa,Teguh Santosa,PT Muara Multi Media,DKI Jakarta,"Priamanaya Building, Lantai Dasar Jalan Proklamasi No. 53 Jakarta Pusat",muaramultimedia@yahoo.com
822,halloriau.com,Siber,Budy Satria,Budy Satria,PT. METRO MEDIA CEMERLANG,Riau,Jl. Soekarno Hatta No. 20-28 Pekanbaru,redaksi@halloriau.com
823,CNN Indonesia,Televisi,Titin Rosmasari,Titin Rosmasari,PT Trans News Corpora,DKI Jakarta,"Gedung Transmedia Lt.3, Jl. Kapten P. Tendean Kav.12 14A, RT.02/02, Mampang Prapatan, Jakarta",public.relations@cnn.id
824,Bisnis Bali,Cetak,Nyoman Sarmawa,Nyoman Sarmawa,pt,Bali,"Gedung Pers Bali Ketut Nadha Jl. Kebo Iwa 63A, Denpasar 80116",bisnis_bali@yahoo.com
825,kronologi.id,Siber,Eroby Jawi Fahmi,Eroby Jawi Fahmi,PT Ininnawa Digital Media,Gorontalo,"Jl. Dahlia No.76, Kelurahan Tenda, Kecamatan Hulonthalangi, Kota Gorontalo, Provinsi Gorontalo. 96133",redaksi.kronologi@gmail.com
826,Sulbarkita.com,Siber,TRI SUHARMAN,TRI SUHARMAN,PT MEDIARAYA NUSANTARA GRUP,Sulawesi Barat,"JL Martadinata, Lingkungan Tambayako, Mamuju, Sulawesi Barat",sulbarkita@gmail.com
827,Medgo.id,Siber,Ridwan Mooduto,Kasman Mohamad,Rajawali Medgo Perkasa,Gorontalo,Jl. Anggur Perum Mansai Permai blok I/03 Kelurahan Huangobotu Kecamatan Dungingi Kota Gorontalo 96138,medgoperkasa@gmail.com
828,prokal.co,Siber,Faroq Zamzami,Indra Zakaria,pt duta prokal multimedia,Kalimantan Timur,"Jalan soekarno-hatta, km 3,5, Gedung Biru, Balikpapan Utara, Balikpapan, Kalimantan Timur",farkafka@gmail.com
829,Bungo TV,Televisi,RADEN BENI HIDAYAT,Mukhtadi Putra Nusa,PT BUNGO MEDIA TELEVISI,Jambi,"Jalan Diponegoro No. 09 Pasir Putih, Rimbo Tengah, Kabupaten Bungo, Jambi",redakturbungotv@gmail.com
830,metropolis.co.id,Siber,Yulius Putra,Yulius Putra,PT.Metropolis Media Indonesia,Lampung,"Kota Sepang Permai Blok D No 11, Sepang Jaya, Labuhan Ratu, Bandar Lampung.",redaksimetropolis1@gmail.com
831,lampungvisual.com,Siber,JUNAIDI,JUNAIDI,GLOBAL MEDIA LAMPUNG VISUAL,Lampung,Kantor Redaksi : Jl. Laksamana Malahayati No.88. Teluk Betung Bandar Lampung. Provinsi Lampung Indonesia -35211- email : basri.subur@gmail.com-redaksilampungvisual@gmail.com,redaksilampungvisual@gmail.com
832,nenemonews.com,Siber,ABDULLAH ALMAS'UD,ABDULLAH ALMAS'UD,PT NENEMO IDZAA MEDIA,Lampung,"Jl Harapan IA No.30 Kota Sepang, Bandar Lampung, Kode Pos 35148",nenemonews@gmail.com
833,lampungtelevisi.com,Siber,Syamsul Bahri Nasution,Syamsul Bahri Nasution,PT.Lampung Channel,Lampung,"Jalan Perwira No. 3, Kelurahan Rajabasa, Kecamatan Rajabasa, Kota Bandarlampung",adm.lampungtv@gmail.com
834,palpres.com,Siber,Tri Nurwanto,Tri Nurwanto,PT Wahana Citra Merdeka,Sumatera Selatan,"Jalan Kol H Burlian No 059 Rt 001 Rw 002 Kelurahan Karya Baru Kecamatan Alang-Alang Lebar, Palembang",palpres.online@gmail.com
835,inilahsultra.com,Siber,Hasanuddin,Hasanuddin,PT. Inilah Sultra Grup,Sulawesi Tenggara,"Jl. Gunung Meluhu, Lorong Rembiz No.11a (Belakang RS. Bhayangkara) Kota Kendari, Sulawesi Tenggara. Email: redaksi.inilahsultra@gmail.com, Kode Pos: 93115. Telp. +62 852 7078 3945 - +62 813 4168 4950",ananoharu@yahoo.com
836,Extranews,Cetak,FIRDAUS KOMAR,FIRDAUS KOMAR,PT EXTRA MEDIA SRIWIJAYA,Sumatera Selatan,JALAN KEBUN. BUNGA CITRA KENCANA BLOK A 24 PALEMBANG,firdauskomar71@gmail.com
837,RiauPedia.com,Siber,Faisal Martinus,Uparlin Ts. Maharadja,PT Perdana Inti Media,Riau,Jl. Bunga II Tembilahan Hilir,riaupediacom@gmail.com
838,kabarjagad.id,Siber,Irwansyah,Irwansyah,JAGAD HARTA NUSANTARA,Jawa Timur,"Jl.Jarak 59,RT 04,RW 12,Kelurahan Putat jaya,Kecamatan Sawahan,Kota Surabaya",jagadkabar@gmail.com
839,KupasKasus.com,Siber,Toroziduhu Laia,Martinus Hulu,Kupas Kasus Pers,Riau,"Jalan Hangtuah Ujung No.69 Kel. Sialan Sakti, Kecamatan Tenayan Raya, Kota Pekanbaru, Provinsi Riau",martintel84@gmail.com
840,koran kaltim,Cetak,"Desman Minang Endianto, S.HI","Desman Minang Endianto, S.HI",PT. Media Bangun Bersama,Kalimantan Timur,Jl. Jelawat RT. 18  Kel. Timbau Kec. Tenggarong,korankaltim@yahoo.co.id
841,www.sumutrealita.com,Siber,Lamra Sinaga Simanjorang,Amran Cha,PT Info Lingga Sejahtera,Kepulauan Riau,"Perumahan Parisa Indah Blok A3 Nomor 20 Kelurahan Sei Langkai, kecamatan Sagulung",jannes2017@yahoo.com
842,Curup Ekspress,Cetak,Abdul Gapur,Abdul Gapur,Media Rejang Ekspress,Bengkulu,"Jl. Jendral Sudirman no 14, Kelurahan Tempel Rejo Kecamatan Curup Selatan Kabupaten Rejang Lebong, Bengkulu 39125",curupekspress@gmail.com
843,Medialokal.co,Siber,ADITIYA PRAHARA,Munazlen Nazir,PT. MEDIA MARHAENIS INDONESIA,Riau,"Jl. Merdeka Timur No. 72, Kelurahan Teluk Pinang, Kecamatan Gaung Anak Serka (GAS), Kabupaten Indragiri Hilir (Inhil),
Riau - Indonesia",medialokalco@gmail.com
844,Fajar Malut,Cetak,Mahmud Daya,Mahmud Daya,PT. Fajar Inti Media,Maluku Utara,"Lingkungan soa puncak, Kelurahan Soa, Kecamatan Kota Ternate Utara, Kota Ternate.",erwin.ega68@yahoo.com
845,playworld.id,Siber,Wina Armada Sukardi,Wina Armada Sukardi,PT. Jayadata Indonesia,DKI Jakarta,JL. Boulevard Bukit Gading Raya Komplek Kokan Permata Blok E No. 29 Kelapa Gading - Jakarta Utara 14240,faisal.murkadi@jayadata.co.id
846,Majalah News Yoka,Cetak,Agus Rinaldi,Agus Rinaldi,News Yoka Lingga,Sumatera Selatan,"Jl. TPH Sofian Kenawas, Perum Patra Sriwijaya Blok.AE No.02-03Rt.025 Rw.005, Kelurahan Gandus, Kecamatan Gandus, Kota Palembang, Provinsi Sumatera Selatan",rusnimaryatiyori@gmail.com
847,sidak post,Cetak,ZAKARIA,ZAKARIA,INSAN JURNALIS INDONESIA,Lampung,JL ST BADARUDIN GG DELIMA NO 16 KELURAHAN GUNUNG AGUNG KECAMATAN  LANGKAPURA KOTA BANDAR LAMPUNG ,sidakpost@yahoo.co.id
848,koranindigo.online,Siber,GENCAR DJAROT,INDAR ISMAIL JAMALUDDIN,INDIGO MITRA PERKASA,Sulawesi Tengah,"JL. TORARANGA NO 226, KEL. LOJI, KEC PARIGI",koranindigo@gmail.com
849,Ekspres.id,Siber,Erwin Prasetio,Erwin Prasetio,Cakrawala Kepri Utama,Kepulauan Riau,"Jl. Durian No. 42 Kelurahan Sei Jang, Kecamatan Bukit Bestari
Kota Tanjungpinang, Kepulauan Riau",ekspres.kepri@gmail.com
850,Media Nusantara,Cetak,RAZAK,RAZAK,Media Cipta Purnama,Kepulauan Riau,Komplek Perum Putra Kelana jaya Blok B1 no 28 Bengkong sadai kota Batam,mediaa_nusantara@yahoo.com
851,Kalimantan Post,Cetak,Hj Sunarti,Hj Sunarti,Karya Banjar Sejahtera,Kalimantan Selatan,"Gedung Kalimantan Post
Jl. DI Panjaitan 67 Banjarmasin",kp.iklan@gmail.com
852,GOTV,Televisi,SUKARNO,SUKARNO,PT GORONTALO TELEVISI UTAMA,Gorontalo,JL. TAMAN SURYA KELURAHAN DEMBE JAYA KECAMATAN KOTA UTARA KOTA GORONTALO PROVINSI GORONTALO,arnos_ilen@yahoo.com
853,GO RADIO,Radio,SUKARNO,SUKARNO,PT RADIO GORONTALO MAJU,Gorontalo,JL. TAMAN SURYA KEL. DEMBE JAYA KEC. KOTA UTARA KOTA GORONTALO PROV. GORONTALO,opie_isat@yahoo.com
854,radartasikmalaya.com,Siber,AGUSTIANA,AGUSTIANA,PT WAHANA GENERASI CEMERLANG,Jawa Barat,Jalan SL. Tobing No.99 (Gedung Biru) Kel. Tugujaya Kec. Cihideung Kota Tasikmalaya,untukberita4@gmail.com
855,tribunsatu.com,Siber,Pantas Sitompul,Pantas Sitompul,Hesti Tribunsatu Pers,Riau,"Jalan Bukit Barisan No.07 Kelurahan Pematang Kapau, Kecamatan Tenayan Raya, Kota Pekanbaru",riswanndruru5@gmail.com
856,Sarolangun Ekspres,Cetak,Ahmad Nuriadi ,Ahmad Nuriadi ,pt,Jambi," Mutiara Gunung Kembang Regency, Blok A No 3, Kel. Sarkam, Kab. Sarolangun",sarolangunekspres@gmail.com
857,Top Metro,Cetak,LILIK RIADI DALIMUNTHE,LILIK RIADI DALIMUNTHE,PT. TOP METRO MEDIA,Sumatera Utara,JLN. DENAI / RAWA NO. 221 B-C TEGAL SARI MANDALA II 20226,korantopmetro109@gmail.com
858,Topmetro.news,Siber,ERRIS JULIETTA NAPITUPULU,ERRIS JULIETTA NAPITUPULU,PT. PERSADA LINTAS MEDIA MEDAN,Sumatera Utara,JL. DENAI/RAWA NO.221 B-C TEGAL SARI MANDALA II  20226,persadalintasmediamedan@gmail.com
859,bidikonline.com,Siber,ANOTONA NAZARA,ANOTONA NAZARA,PT.Bidik Jaya Pers,Riau,"Komplex Ruko Gunung Kerinci, Jalan Bukit Barisan No. 7  RT.3/RW.2 Kelurahan Pematang Kapau Kecamatan Tenayan Raya Pekanbaru-Riau",bidikdewan01@gmail.com
860,mimbarkita.com,Siber,ADELINA,ADELINA,PT. MIMBAR KITA PERS,Riau,"Kompleks Ruko Permata Bukit Residenci Jalan Bukit Barisan No.7 RT.3/RW.02 Kelurahan Pematang Kapau Kecamatan Tenayan Raya Pekanbaru, RIAU",dewanmimbar4@gmail.com
861,Mercusuar,Cetak,,,PT,Sulawesi Tengah,Jl. Yos Sudarso No. 33,mercu_red@yahoo.co.id
862,Tribun Pekanbaru,Cetak,Hasanah Samhudi,Hasanah Samhudi,PT.Riau Media Grafika,Riau,"Jln. H Imam Munandar No.383 RT01 RW04 Tangkerang Labuai, Kec.Bukit Raya. Pekanbaru",hrtribunpekanbaru@gmail.com
863,detikawanua.com,Siber,,,PT,Sulawesi Utara,"Jl. Santiago No. 100 Kel. Mahawu, Kec. Tuminting, Kota Manado",detikawanua@gmail.com
864,bengkulutoday.com,Siber,Wibowo Susilo,Wibowo Susilo,PT BENGKULU MEDIA SIBER,Bengkulu,Jl. Kebun Indah Blok A No 20 RT 38 RW 07 Kel Sukarami Kec Selebar Kota Bengkulu,bengkulutoday7@gmail.com
865,batamtimes.co,Siber,ADE MULYANA,ADE MULYANA,PT.Sinai Media Sejahtera,Kepulauan Riau,Ruko Tunas 2 Blok A no 2 Batam center,batamtimesco@gmail.com
866,karimuntoday.com,Siber,RIDWAN,RIDWAN,PT CAHAYA KARIMUN MEDIA,Kepulauan Riau,"Bukit Sidomulyo, Gang : Batik Solo, No. 198 Kode Pos : 29661, Kecamatan Karimun, Kabupaten Karimun, Provinsi Kepulauan Riau, HP,081364522342, 081326267151",redaksi@karimuntoday.com
867,RADAR TASIKMALAYA,Cetak,USEP SAEFFULLOH,USEP SAEFFULLOH,PT WAHANA SEMESTA TASIKMALAYA,Jawa Barat,Jalan SL Tobing NO. 99 Kel. Tugujaya Kec. Cihideung Kota Tasikmalaya 46121,tasikrd@gmail.com
868,baritorayapost.com,Siber,SUMADYA WIDADA,HAIRIL SUPRIADI,PT. BORNEO ALAM KITA,Kalimantan Tengah,"Jln. Kawitan, No 70 Sidorejo
Pangkalan Bun, Kota Waringin Barat 74122 Kalimantan Tengah.
E-mail: wsumadya@gmail.com",admbrpost17@gmail.com
869,bugispos.com,Siber,Usdar Nawawi,Usdar Nawawi,PT. Bugispos Tujua Utama,Sulawesi Selatan,"Jl. Inspeksi Pam No.42, Batua, Kec. Manggala, Kota Makassar, Sulawesi Selatan",usdarnawawi@yahoo.com
870,Mejaredaksi.co.id,Siber,Kurnia Syaifullah,Kurnia Syaifullah,MEJA MEDIA MANDIRI,Kepulauan Riau,"Jl. WR Supratman, Ruko Perum Puri Surya Mas, Kelurahan Air Raja Kecamatan Tanjungpinang Timur, Kota Tanjungpinang , Kodepos 29122  Kota Tanjungpinang – Kepulauan Riau",redaksi.meja@gmail.com
871,Babel Review,Cetak,,,PT,Kepulauan Bangka Belitung,"Jl. Soekarno Hatta No. 227-A, Pangkalpinang, Prov. Kepulauan Bangka Belitung",babelreviewindo@gmail.com
872,Sumateranews.co.id,Siber,Donni,Donni,PT HUSNUL SUMATERA NEWS,Sumatera Selatan,"Jl. Krakatau No 49 Kel. Gunung Ibul Kec. Prabumulih Timur Kota Prabumulih, RT 23 RW 08 Palembang",0813-73351115
873,krsumsel.com,Siber,Idham Syarief,Idham Syarief,PT KRSumsel Media Sumatera,Sumatera Selatan,"Alamat Redaksi:  Perumnas Tanjung Rancing Blok P No 007  RT 07, RW 4 Kelurahan Tanjung Rancing Kecamatan Kayuagung OKI Sumatera Selatan.",krsumsel@gmail.com
874,sumeks.co,Siber,H Mahmud,"Dwitri Kartini, SE, Ak",Radar Citra Media,Sumatera Selatan,"Jl Kol H Burlian No 773 KM 6, 5 Gedung Graha Pena Palembang",official.sumeksco@gmail.com
875,Bongkar Post,Cetak,Abdullah Almas'ud,Abdullah Almas'ud,PT Gema Berita Nusantara,Lampung,"Jalan Tirtayasa, Ruko No 51, Bandar Lampung",sattikaoctaria@gmail.com
876,tribunsumsel.com,Siber,L. Weny R,L. WENY R,Tribun Digital Online,Sumatera Selatan,Jl. Alamsyah Ratu Prawira Negara No.120 RT.052 Rw.016 Ilir Barat I Palembang 30139,jili87_nangin@yahoo.com
877,Moeslim choice,Cetak,"Teguh Santosa, Usman Rizal",Gunawan Effendi,Inter Media Digital,DKI Jakarta,"Jl. Raya Kalibata No. 8 , Jakarta Selatan",moeslimchoice@gmail.com
878,waspada.id,Siber,H. Prabudi Said,H. Prabudi Said,PT. Waspada Medan Indonesia,Sumatera Utara,"Jalan Letjend Suprapto Nomor . 1 Medan, Aur
Medan Maimun, Medan – Sumatera Utara    Kodepos 20151",chenprayitno@yahoo.co.id
879,siagaonline.com,Siber,Martinus Hulu,Martinus Hulu,Mafis Siaga Pers,Riau,"Jalan Hangtuah Ujung No.69 Kelurahan Sialang Sakti, Kecamatan Tenayan Raya, Kota Pekanbaru",redaksisiagaonline@gmail.com
880,padangtime.com,Siber,ISMAIL NOVENDRA,ISMAIL NOVENDRA,PT ROVAL PRATAMA GROUP,Sumatera Barat,Komp. FILANO BCA Blok G/1 RT005 / RW 002,padangtime2018@gmail.com
881,riauonline.co.id,Siber,FAKHRUR RODZI,FAKHRUR RODZI,RIAU SINERGI MULTIMEDIA,Riau,"JALAN AMILIN/SEMANGKAN NO 51, SUKAJADI, PEKANBARU, RIAU.",riauonline.info@gmail.com
882,metropadang.com,Siber,Fizaski Zakir,Fizaski Zakir,PT Balang Media Utama,Sumatera Barat,"Komplek Filano Bca blok  G no 1 kubu Dalam Parak Karakah, Kecamatan Padang Timur,  Kota Padang, Provinsi Sumatra Barat",metropadang2019@gmail.com
883,Babel Pos,Cetak,M. Sobri Kurniawan,M. Sobri Kurniawan,PT. Wahana Semesta Bangka,Kepulauan Bangka Belitung,"Graha Pena Bangka, Jl. Jenderal Sudirman No.10 Selindung Baru, Pangkalpinang",jalgooners@gmail.com
884,Batamxinwen.com,Siber,M. A Khafi Ansyari,M. A Khafi Ansyari,Mediatama Fifa Online,Kepulauan Riau,"Perum Oriana Blok B12 No 16, Batam Center, Batam, Kepulauan Riau",osias.de11@gmail.com
885,kabarpublik.id,Siber,Mahmud Marhaba,Mahmud Marhaba,PT MEDIA KABAR PUBLIK,Gorontalo,Jl. HB Jassin No. 501 Kota Gorontalo,mahmudmarhaba71@gmail.com
886,harianrakyatbengkulu.com,Siber,Marsal Abadi,Marsal Abadi,PT. Rakyat Bengkulu Digital Media,Bengkulu,"Graha Pena Rakyat Bengkulu, Jalan P Natadirja No 69 KM 6,5",redaksirbonline@gmail.com
887,Riaupembaruan.com,Siber,"Rezi Andika Putra, Amd","Rezi Andika Putra, Amd",Pembaruan Media Nusantara,Riau,"Jalan Siliwangi, Jaya Mukti, Kecamatan Dumai Timur - Kota Dumai - Provinsi Riau.",riaupembaruan@gmail.com
888,pojok6.id,Siber,Irwanto Achmad,Irwanto Achmad,Cipta Netmedia Sejahtera,Gorontalo,"Jl.Farid Liputo No.27 Kel.Bugis Kec.Dumbo Raya
Kota Gorontalo",pojok6gorontalo@gmail.com
889,popularitas.com,Siber,Hendro Saky Koto,Hendro Saky Koto,PT Popularitas Indo Media,Aceh,"Jl DR MR Muhammad Hasan Nomor 2-3, Batoh, Kecematan Lueng Bata, Kota Banda Aceh",redaksi.popularitas@gmail.com
890,siberklik.com,Siber,Ade Kurnia,Ade Kurnia,Media Berkah Pratama,Bengkulu,Jalan Sudirman RT 4 RW 1 Kelurahan Pintu Batu Lantai 2,kliksiber@gmail.com
